id_criterio,id_proveedor,id_obra,id_tipo_proveedor,id_corte_evaluacion,puntaje_maximo,puntaje_promedio,evaluado
Cumple con las especificaciones técnicas,AGRO-COSTA SAS,ALUNAS S.A.S.,Insumos,09/15/2025,35,35.00,si
Entrega oportuna del producto,AGRO-COSTA SAS,ALUNAS S.A.S.,Insumos,09/15/2025,25,23.57,si
Servicio postventa,AGRO-COSTA SAS,ALUNAS S.A.S.,Insumos,09/15/2025,20,20.00,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,AGRO-COSTA SAS,ALUNAS S.A.S.,Insumos,09/15/2025,20,18.00,si
Cumple con las especificaciones técnicas,AGRO-FILTER DE LA COSTA SAS,ALUNAS S.A.S.,Insumos,09/15/2025,35,35.00,si
Entrega oportuna del producto,AGRO-FILTER DE LA COSTA SAS,ALUNAS S.A.S.,Insumos,09/15/2025,25,23.33,si
Servicio postventa,AGRO-FILTER DE LA COSTA SAS,ALUNAS S.A.S.,Insumos,09/15/2025,20,20.00,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,AGRO-FILTER DE LA COSTA SAS,ALUNAS S.A.S.,Insumos,09/15/2025,20,17.00,si
Cumple con las especificaciones técnicas,ALFONSOEME S A,ALUNAS S.A.S.,Insumos,09/15/2025,35,32.14,si
Entrega oportuna del producto,ALFONSOEME S A,ALUNAS S.A.S.,Insumos,09/15/2025,25,20.71,si
Servicio postventa,ALFONSOEME S A,ALUNAS S.A.S.,Insumos,09/15/2025,20,19.29,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,ALFONSOEME S A,ALUNAS S.A.S.,Insumos,09/15/2025,20,17.00,si
Cumple con el servicio dentro del programa establecido,APOLINAR HERNANDEZ ENDER ANTONIO,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,30,26.67,si
Ofrece capacidad de respuesta ante las solicitudes de los clientes,APOLINAR HERNANDEZ ENDER ANTONIO,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,21.67,si
Cumple oportunamente con los registros solicitados del SG-SST y ambiental,APOLINAR HERNANDEZ ENDER ANTONIO,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,17.50,si
Cumple con todos los permisos o licencias requeridas para la prestación del servicio,APOLINAR HERNANDEZ ENDER ANTONIO,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,20,20.00,si
Cumple con el servicio dentro del programa establecido,ARDILA ALZATE CLAUDIA PATRICIA,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,30,26.67,si
Ofrece capacidad de respuesta ante las solicitudes de los clientes,ARDILA ALZATE CLAUDIA PATRICIA,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,22.50,si
Cumple oportunamente con los registros solicitados del SG-SST y ambiental,ARDILA ALZATE CLAUDIA PATRICIA,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,17.50,si
Cumple con todos los permisos o licencias requeridas para la prestación del servicio,ARDILA ALZATE CLAUDIA PATRICIA,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,20,20.00,si
Cumple con el servicio dentro del programa establecido,ARZUZA VILLANUEVA RAFAEL JOSE,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,30,26.67,si
Ofrece capacidad de respuesta ante las solicitudes de los clientes,ARZUZA VILLANUEVA RAFAEL JOSE,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,21.67,si
Cumple oportunamente con los registros solicitados del SG-SST y ambiental,ARZUZA VILLANUEVA RAFAEL JOSE,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,22.50,si
Cumple con todos los permisos o licencias requeridas para la prestación del servicio,ARZUZA VILLANUEVA RAFAEL JOSE,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,20,20.00,si
Cumple con el servicio dentro del programa establecido,BLINTECH SOLUTIONS S.A.S,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,30,27.14,si
Ofrece capacidad de respuesta ante las solicitudes de los clientes,BLINTECH SOLUTIONS S.A.S,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,22.86,si
Cumple oportunamente con los registros solicitados del SG-SST y ambiental,BLINTECH SOLUTIONS S.A.S,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,21.43,si
Cumple con todos los permisos o licencias requeridas para la prestación del servicio,BLINTECH SOLUTIONS S.A.S,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,20,20.00,si
Cumple con el servicio dentro del programa establecido,CASATORO S A,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,30,25.71,si
Ofrece capacidad de respuesta ante las solicitudes de los clientes,CASATORO S A,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,22.14,si
Cumple oportunamente con los registros solicitados del SG-SST y ambiental,CASATORO S A,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,19.29,si
Cumple con todos los permisos o licencias requeridas para la prestación del servicio,CASATORO S A,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,20,20.00,si
Cumple con el servicio dentro del programa establecido,CASTRILLO FUENTES WENDY JULIETH,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,30,28.33,si
Ofrece capacidad de respuesta ante las solicitudes de los clientes,CASTRILLO FUENTES WENDY JULIETH,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,23.33,si
Cumple oportunamente con los registros solicitados del SG-SST y ambiental,CASTRILLO FUENTES WENDY JULIETH,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,16.67,si
Cumple con todos los permisos o licencias requeridas para la prestación del servicio,CASTRILLO FUENTES WENDY JULIETH,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,20,20.00,si
Cumple con el servicio dentro del programa establecido,CASTRO PERALTA SERGIO LUIS,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,30,26.67,si
Ofrece capacidad de respuesta ante las solicitudes de los clientes,CASTRO PERALTA SERGIO LUIS,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,23.33,si
Cumple oportunamente con los registros solicitados del SG-SST y ambiental,CASTRO PERALTA SERGIO LUIS,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,23.33,si
Cumple con todos los permisos o licencias requeridas para la prestación del servicio,CASTRO PERALTA SERGIO LUIS,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,20,20.00,si
Cumple con las especificaciones técnicas,CENTRO ACEROS DEL CARIBE LTDA,ALUNAS S.A.S.,Insumos,09/15/2025,35,34.17,si
Entrega oportuna del producto,CENTRO ACEROS DEL CARIBE LTDA,ALUNAS S.A.S.,Insumos,09/15/2025,25,18.33,si
Servicio postventa,CENTRO ACEROS DEL CARIBE LTDA,ALUNAS S.A.S.,Insumos,09/15/2025,20,20.00,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,CENTRO ACEROS DEL CARIBE LTDA,ALUNAS S.A.S.,Insumos,09/15/2025,20,14.00,si
Cumple con el servicio dentro del programa establecido,CENTRO DE DIAGNOSTICO AUTOMOTOR LA PRADERA S.A.S,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,30,29.17,si
Ofrece capacidad de respuesta ante las solicitudes de los clientes,CENTRO DE DIAGNOSTICO AUTOMOTOR LA PRADERA S.A.S,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,24.17,si
Cumple oportunamente con los registros solicitados del SG-SST y ambiental,CENTRO DE DIAGNOSTICO AUTOMOTOR LA PRADERA S.A.S,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,23.33,si
Cumple con todos los permisos o licencias requeridas para la prestación del servicio,CENTRO DE DIAGNOSTICO AUTOMOTOR LA PRADERA S.A.S,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,20,20.00,si
Ofrece capacidad de respuesta ante las solicitudes de los clientes,CONTRAILER S.A.S,ALUNAS S.A.S.,Maquinaria y equipo,09/15/2025,20,18.00,si
